阅读日期,文献标题,关键词,摘要,期刊,年份,要点总结,0-5,subject1-特征点识别算法,情绪,Posture
2018/8/6,光电容积脉搏波临床应用研究进展,,"光电容积描记术(Photoplethysmography,PPG)是一种运用光电技术在活体组织中监测血容积变化的无创监测方法。近年来PPG监测技术以及数字信号处理功能进一步发展,且操作简便,性能稳定,具有安全可靠、实时、无创伤以及适应性强等诸多优点,受到国内外学者广泛关注。它包含人体丰富的生理病理信息,从最初的对SpO2及脉率的监测,发展到从PPG中提取形态学参数对呼吸系统、循环系统以及应激反应的监测。本文就PPG的测量原理及形态特征、影响因素、最新技术进展及未来展望作简要综述。",临床麻醉学杂志,2013,该文介绍了光电脉搏波的原理，包括透射式和反射式两种，相对详细地解释了脉搏波的波形的生理含义，对麻醉学的一些应用进行了相对详细的阐述，简单地陈述了其他领域的脉搏波的应用（血压测量和糖尿病患者的指标）,1,,,
,基于波形特征和小波的脉搏波特征点识别研究,脉搏波;预处理;时域特征;小波分解;特征点识别,"脉搏波是人体心脏有节律的收缩射血,血液流经弹性血管所产生的波动。不同的人在不同的生理状态下的脉搏波波形是不同的,因此脉搏波的特征点识别对于分析人体的生理病理状况、预防诊断心血管疾病是非常有帮助的。本文结合小波分析和脉搏波时域特征,提出了一种从脉搏波预处理到特征点准确识别的综合算法,实验表明该算法能够有效识别处于不同运动状态的脉搏波特征点,为后续相关人体生理病理信息的有效提取创造了条件。",仪器仪表学报ChineseJournalofScientificInstrument,2016,"首先，采用改进阈值的小波变换对原始数据进行预处理，去掉呼吸造成的低频漂移和工频干扰；提出特征识别的新算法--小波与微分结合的方法（TDWD），包括b,c,d,e,f,g六个脉搏波特征点的识别，流程值得参考，算法原理值得深究，简单是利用人工提前标定大致距离，设置合适的窗口去识别，识别率正确率较高",5,TRUE,,
2018/8/7,基于光电容积脉搏波的无创血糖测量研究,光电容积脉搏波;近红外光;无创;双波长;血糖测量,"目前临床使用的血糖测量方法是采用直接抽取患者血液,根据生物化学反应原理测量血糖,这种有创测量方法存在疼痛、易感染、不能连续测量等问题。根据光电容积脉搏波检测理论,研究了一种血糖测量方法,实现临床无创连续血糖测量。该方法采用波长为805nm和940nm两束近红外光透射患者手指,其中805nm为血糖敏感波长,940nm为参考波长。从透射光中提取与血糖有关的信息进行数据处理并进行标定,计算血糖值。经实验验证,该方法能实现连续的无创血糖测量。","吉林大学学报(信息科学版)JournalofJilinUniversity(InformationScienceEdition)
",2015,提出了血糖测量的新方法，即用光电脉搏波原理，选取805和940nm的近红外光，根据比尔定律求得血糖浓度，用血糖仪标定，并拟合出血糖浓度与R得关系，相关性达0.977，误差不超0.4mmol,2,,,
,基于光电容积脉搏波描记法的无创连续血压测量,血压;光电容积脉搏波描记法;无创,"为了摆脱传统血压计充气袖带的束缚、实现长期连续的血压监测,很多学者开展了基于PPG实现无创、连续血压监测的研究。阐述基于光电容积脉搏波描记法(PPG)实现无创、连续血压测量的基本原理。将当前基于PPG无创血压监测的研究分为3类,分别为心电(ECG)与PPG结合的血压测量技术、两路PPG结合的血压测量技术、脉搏波特征参数血压测量技术,分析这3类技术的基本测量原理、测量精度及其优缺点。在此基础上,论述基于PPG实现无创、连续监测血压的发展方向。",中国生物医学工程学报ChineseJournalofBiomedicalEngineering,2012,介绍了三种无创测量血压得方法，蛮详细得，回头再细读。2019/3/8Update，三种无创测量血压的方法分别是：结合心电和ppg数据求ptt，根据血管弹性模型建立ptt与收缩压之间的关系，从而根据ptt推导出血压的变化；二是两路ppg，三是根据脉搏波特征参数直接建立关系模型，其中有2/3高度脉搏波宽度、流入时间和流出时间等，缺点是该方法缺乏生理背景，更加没有物理模型基础。该文指出，脉搏波波速pwv是心血管疾病的独立危险因素，如高血压、动脉粥样硬化等心血管疾病可利用该指标来评估。另外，该文是对三种计算PWV或者说建立血压模型的方法进行了综述和原理的讲解，对三种方法的优缺点都有罗列。,4,,,
2018/8/8,脉搏波波形特征信息的研究,"脉搏波,波形特征值,双弹性腔,模型","为了研究脉搏波波形特征与生理因素的关系,提出了一个以脉搏波波图面积变化为基础的脉搏波波形特征量K值的新的提取方法.通过模型理论分析、动物实验、临床实测和运动负荷测试,证实K值能较好地反映人体心血管系统中血管外周阻力、血管壁弹性和血液粘度等生理因素,是心血管疾病临床检查的一个重要生理指标,因而在临床上有重要的应用价值.","北京工业大学学报JOURNALOFBEIJINGPOLYTECHNICUNVERSITY
",1996,提出了脉搏波的一种经典特征：K值（脉搏波波形的面积），建立了心血管双弹性腔模型，通过改变外周阻力和血管壁弹性得到不同的K值，从而得出K值与临床指标的高度相关性，另外，通过比对不同年龄段及健康状况的人的脉搏波的K值等实际的例子证实了K值判定血管弹性及粘性等生理特征得便捷性；不同K值可以反应不同特点的脉搏波的波形形状,5,,,
,基于重搏波谷点的脉搏波波形特征量分析,脉搏波;脉搏波波形特征量;重搏波谷,"目的脉搏波包含许多重要的血流动力学信息。罗志昌教授前期研究,曾提出一个以脉图面积变化为基础的脉搏波波形特征量K。但是在长期的实验中发现相同的K值有着不同的脉搏波波形。方法在脉搏波波形特征量K的基础上提出以重搏波谷为界将脉搏波波形分为两部分,相应地波形特征量也分为K1和K2。结果脉搏波波形特征量K1和K2的变化能够反映人体心脏、血管、血压、微循环功能的变化。结论脉搏波波形特征量K值分为K1和K2后,解决了原来相同K值而生理状态不同的问题。",北京生物医学工程BeijingBiomedicalEngineering,2008,在上一篇的基础上，提出了脉搏波K1和K2的概念，以及提取方法，利用二阶微分的最大值确定重搏波谷所在位置，解决了单一K值对脉搏波形状不那么精确的问题；并利用病例找寻了心输出量、外周阻力、平均动脉压、血流半更新率与K、K1、K2的相关性,4,,,
2018/8/9,脉搏波的频域特征提取与自动识别技术,脉搏波;频谱;小波变换;小波熵;贝叶斯判别分析,"脉搏波的频谱蕴含丰富的病理信息,但其复杂的频谱计算和分类是临床应用的瓶颈之一.本文引入模式识别技术,建立了心血管疾病的自动识别专家系统,为脉搏波频谱分析在临床中的应用开辟了新的研究思路.首先采用小波变换在多分辨率层次上提取脉搏波的频域特征,不仅获得了各个频带的谱能分量,而且得到了频谱分布参数小波熵;然后采用贝叶斯判别分析法建立自动识别模型,对频域特征进行分类.临床采集了30例冠心病人和30例正常人的脉搏波信号,对识别模型进行了训练,最后对模型进行了交互验证.结果表明,该识别模型对冠心病人的识别准确率为83.3%,对正常人的识别准确率为70.0%.该方法具有较好的识别效果,为脉搏波自动识别技术的发展提供了借鉴.",纳米技术与精密工程NanotechnologyandPrecisionEngineering,2010,冠心病人和正常人的脉搏波的一些特征（小波能量分布和小波熵）进行统计分析，后进行贝叶斯训练，达到识别的目的，其中的流程和实验的方法指的参考和借鉴，小波分析涉及较多，去噪和熵的应用等,4,,,
2018/8/10,脉搏波信号特征点识别与预处理方法研究,脉搏波;数学形态学;小波变换;微分法;特征点识别,"脉搏波信号特征包含人体心血管的生理病理信息,准确识别其特征点对分析人体心血管的健康状况有重要意义。脉搏波特征点因人而异,且易受干扰,因而获取高信噪比的完整信号是准确识别特征点的前提。本文基于数学形态学,设计了一种组合滤波器对信号作预处理,可有效抑制基线漂移并去除高频噪声。利用特征点与小波变换过零点的位置对应关系,识别预处理后信号的特征点,并提出用微分法来校正特征点的位置偏移。采用三个参数可调的高斯函数重构出四种典型的脉搏波进行对照实验,证明了本文方法识别脉搏波特征点的准确性。",生物医学工程学杂志JournalofBiomedicalEngineering,2015,详细描述了脉搏波六个特征点的生理含义；利用小波系数过零点识别各个特征点的位置，其中小波基函数选墨西哥草帽函数（高斯函数的二阶微分），差分法校正偏移（差分法识别极值与小波识别特征点对比校正）；信号的基线漂移和高频噪声的去除采用数学形态学的方法；最后自主仿真了脉搏波波形来验证了前面所述的信号处理以及特征识别方法，其中包含仿真波形的数学模型。2019/1/27Update，小波过零点的识别选择小波第5层，因其幅度更大且没有特征点的缺失，虽然不明白小波过零点识别脉搏波特征点的原理，但看小波波形，其形态丰富，完全有迹可循。不过该方法仍然需要其他识别方法进行位置偏移的矫正，计算量应该小不了。,4,TRUE,,
2018/8/11,容积脉搏波序列的异常模式检测,脉搏波;时间序列;模式发现,"容积血氧计是重要的临床设备,从其测量得到的脉搏波可以计算出心率,但是脉搏波容易受到体动等其他因素的干扰,在计算心率时有必要检测出这些干扰段。首先把脉搏波离散为符号序列,符号序列的若干位字母形成字,然后在局部和整体2个层次上比较字之间的距离,这些距离和设定的阈值比较,从而把脉搏波区分为正常段和干扰段,这种方法也可应用于其他信号。",仪器仪表学报ChineseJournalofScientificInstrument,2009,该文献提出了脉搏波异常波段自动检测的算法：基于时间序列的SAX描述方法，大致是先降维（分段求平均值），然后符号化，最后设置匹配阈值实现自动输出判定结果，处理步骤详细列出；该算法较为繁琐，计算量大，思路值得借鉴，对于大样本的异常波检测正确率达99.96和94.77,4,,,
,脉搏信号中有效信号识别与特征提取方法研究,脉搏信号;时间序列;信号识别;特征提取,"脉搏信号是重要的人体生理信号,但采集过程中会存在一定的干扰信号。针对人体脉搏波采集后的有效信号识别与特征提取的问题,提出一种基于时间序列描述的信号识别方法,首先将脉搏时间序列进行分割,每个分割段采用斜率符号化进行表示,通过段与段之间的相似性判断出信号的有用段和干扰段。再根据得到的有用段信号,提出一种基于滑窗的特征提取方法,寻找脉搏信号中的峰值、谷值,同时调整滑窗宽度,还能够进行重搏波波峰的检测。经实验验证,所提出的识别与特征提取方法准确率高且抗干扰性强。",电子测量与仪器学报JOURNALOFELECTRONICMEASUREMENTANDINSTRUMENTATION,2016,借鉴上一篇关于自动检测干扰波段的文献，采用改进的时间序列描述方法检测脉搏波的异常波段；特征提取采用基于滑窗的方法，可提取波峰、波谷和重博波波峰，通过改变窗宽，检出率高达100%，最低检出率97.54,4,,,
